|id|name|address_name|address_comment|lat|lon|rubrics
28926|70000001079846132|Стоматология|Невский проспект, 63|1 этаж|59.931457|30.352653|['Частные стоматологии']
28927|70000001079867628|XXI век, сеть многопрофильных медицинских центров|улица Маршала Казакова, 72 к1|1 этаж|59.867595|30.17143|['Частные стоматологии', 'Многопрофильные медицинские центры', 'Услуги детских врачей', 'Услуги гинеколога', 'Услуги медицинской диагностики', 'Услуги уролога', 'Услуги офтальмолога', 'Услуги ЛОРа (отоларинголога)', 'Услуги мануального терапевта', 'Услуги аллерголога / иммунолога', 'Услуги дерматолога', 'Услуги кардиолога', 'Услуги логопеда', 'Услуги маммолога', 'Услуги массажиста', 'Услуги невролога', 'Услуги хирурга', 'Услуги эндокринолога', 'Услуги процедурного кабинета', 'Услуги травматолога-ортопеда', 'Медицинские анализы', 'Услуги инфекциониста', 'Услуги сурдолога', 'Услуги фониатра', 'Услуги вакцинации', 'Услуги психиатра', 'Услуги ведения беременности', 'Услуги терапевта', 'Вакцинация от COVID-19', 'Больницы']
28928|70000001079810653|Луис, стоматология|Социалистическая улица, 11|Нет|59.92228|30.342782|['Частные стоматологии']
28932|70000001078764106|Фокус, семейная стоматология|Гжатская, 5 к3|Нет|59.998207|30.378702|['Частные стоматологии']
28933|70000001078283092|Dental story, стоматология|Среднегаванский проспект, 1|1 этаж|59.93115|30.247861|['Частные стоматологии']
28935|70000001075752566|Dental way, Стоматологический кабинет|Бронницкая, 14|1 этаж; вход в арку|59.915638|30.321538|['Частные стоматологии']
28936|70000001077474790|Стоматологическая больница|Боровая, 78|1 этаж|59.912068|30.342021|['Частные стоматологии']
28937|70000001075732652|Энталь|переулок Талалихина, 7|вход внутри арки|59.952074|30.298409|['Частные стоматологии']
28938|70000001077221458|Eazy Smile|Заставская, 46 к3|1 этаж|59.885078|30.31431|['Частные стоматологии']
28939|70000001041582627|Saydent, центр стоматологии|Парфёновская, 9 к1|1 этаж|59.900663|30.310909|['Частные стоматологии']
28940|70000001076252881|Агма+, стоматологическая клиника|Парфёновская, 9 к2 ст1|57-Н кабинет; 2 этаж|59.900683|30.307505|['Частные стоматологии']
28941|70000001075717398|Дентал Тома|улица Академика Лебедева, 12|5 офис; 1 этаж|59.962073|30.354909|['Частные стоматологии']
28942|70000001076265759|Бюро красоты|Малая Митрофаньевская, 5 к1 ст1|2 этаж|59.896533|30.307609|['Частные стоматологии', 'Услуги косметолога', 'Ногтевые студии']
28943|70000001075845721|MedSwiss, многопрофильный медицинский центр|проспект Обуховской Обороны, 120 лит Б|6 этаж; бизнес-центр Новотроицкий|59.86591|30.472144|['Частные стоматологии', 'Многопрофильные медицинские центры', 'Услуги нейрохирурга', 'Услуги косметолога', 'Услуги кардиолога', 'Услуги гастроэнтеролога', 'Медицинские анализы', 'Услуги гинеколога', 'Услуги уролога', 'Услуги проктолога', 'Пластическая хирургия', 'Услуги медицинской диагностики', 'Услуги травматолога-ортопеда', 'Скорая медицинская помощь', 'Услуги флеболога', 'Услуги аллерголога / иммунолога', 'Услуги массажиста', 'Услуги маммолога', 'Услуги физиотерапевта', 'Услуги детских врачей', 'Услуги профпатолога', 'Занятия лечебной физкультурой (ЛФК)', 'Услуги ЛОРа (отоларинголога)', 'Медицинские комиссии', 'Услуги ведения беременности', 'Услуги гематолога', 'Услуги дерматолога', 'Услуги невролога', 'Услуги офтальмолога', 'Услуги психиатра', 'Услуги пульмонолога', 'Услуги ревматолога', 'Услуги рефлексотерапевта', 'Услуги терапевта', 'Услуги хирурга', 'Услуги эндокринолога', 'Услуги мануального терапевта', 'Услуги процедурного кабинета', 'Услуги онколога', 'Услуги психотерапевта']
28944|70000001076167863|Аба-клиника, медицинский центр|Васенко, 12|Нет|59.969842|30.395187|['Частные стоматологии', 'Услуги косметолога']
28960|70000001074636746|Quick dental, стоматология|26-я линия В.О., 7 ст1|1 этаж|59.92995|30.259704|['Частные стоматологии']
28961|70000001075299931|Демос, медицинский центр и стоматология|набережная Адмирала Лазарева, 14|Нет|59.965586|30.280286|['Частные детские стоматологии', 'Частные стоматологии']
28962|70000001069372495|Dental Place, стоматологическая клиника|улица Савушкина, 127|1 этаж|59.987286|30.219862|['Частные стоматологии']
28963|70000001069879026|Дентал Оптима, клиника семейной стоматологии|улица Кораблестроителей, 35 к5|Нет|59.953794|30.22413|['Частные стоматологии']
28964|70000001069269395|Классика, стоматологическая клиника|Большой проспект В.О., 19|1 этаж|59.940195|30.283795|['Частные стоматологии']
